,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
159,,,,O43766,,,,,,,P43897,O95822,Q9P0J6,P28838,P42126,Q9NYZ2,,,,N/A
160,,,,Q9UMS0,,,,,,,P50416,Q9NP92,Q9H1K4,P40939,P10809,Q96IR7,,,,N/A
161,,,,Q53S33,,,,,,,P07954,Q9HD23,P28288,O75390,Q13686,Q08426,,,,N/A
162,,,,P09417,,,,,,,P06746,Q5SXM8,Q99807,Q9BQT8,P00395,Q9BYV1,,,,N/A
163,,,,,,,,,,,P41250,P40305,Q9NXA8,P25705,Q92934,P17612,,,,N/A
164,,,,,,,,,,,Q9NRA0,Q16836,P13051,Q9UGM6,Q96PG8,Q07820,,,,N/A
165,,,,,,,,,,,Q9P0J6,Q13057,Q9Y276,Q8IXL7,P53701,Q9HD23,,,,N/A
166,,,,,,,,,,,P42704,O96008,P17612,P21912,Q9UHN1,Q9UHN1,,,,N/A
167,,,,,,,,,,,Q16718,Q9NVV4,P16260,Q9UDR5,Q9NQZ5,Q08257,,,,N/A
168,,,,,,,,,,,Q99623,Q92934,P10620,Q5T2R2,Q9NRD5,P08559,,,,N/A
169,,,,,,,,,,,Q9BXM7,Q99714,Q8IXI1,Q9NZJ7,O60218,O60220,,,,N/A
170,,,,,,,,,,,P00846,Q92667,P45880,Q7L3V2,P30041,P49247,,,,N/A
171,,,,,,,,,,,Q96RQ3,P00156,Q16654,Q99497,P17152,Q9UK39,,,,N/A
172,,,,,,,,,,,P55789,Q14296,P41250,Q6UB35,Q9P0J1,Q15031,,,,N/A
173,,,,,,,,,,,Q9BZ23,Q9BZ23,P00480,Q9Y276,Q9H078,P36957,,,,N/A
174,,,,,,,,,,,P12694,O14521,P21549,Q9NP92,O43772,P09417,,,,N/A
175,,,,,,,,,,,Q16611,P10109,Q9UBX3,Q9NVV4,Q14790,O75746,,,,N/A
176,,,,,,,,,,,Q8NI37,O75390,Q9BYZ2,Q02318,P24752,P43304,,,,N/A
177,,,,,,,,,,,P35218,P30048,P07195,Q9UBX3,P40305,P49448,,,,N/A
178,,,,,,,,,,,Q9HC21,P09417,P05141,Q8NFF5,Q09013,Q9Y2D0,,,,N/A
179,,,,,,,,,,,Q99757,Q96EY8,Q9H0C2,Q9Y3D2,Q86WU2,P35218,,,,N/A
180,,,,,,,,,,,P21912,Q96HS1,Q70CQ3,Q9NR28,Q5SXM8,Q16798,,,,N/A
181,,,,,,,,,,,Q9UDR5,Q8TD22,Q13907,Q16795,P09417,Q8NFF5,,,,N/A
182,,,,,,,,,,,Q86UT6,Q13423,P80404,Q9H3H1,P54886,Q9H300,,,,N/A
183,,,,,,,,,,,P14324,P34913,Q9UDR5,Q9HC21,P17612,P09622,,,,N/A
184,,,,,,,,,,,Q9UK39,Q9UJZ1,P30048,O43488,Q9H9P8,Q86TW2,,,,N/A
185,,,,,,,,,,,O00429,P54886,P55957,P31040,Q15118,Q9HCL2,,,,N/A
186,,,,,,,,,,,O95139,Q9NXA8,O00429,P10620,Q16611,Q09013,,,,N/A
187,,,,,,,,,,,Q9P0J1,Q9Y3D2,Q92667,P05496,Q9UIJ7,Q9H825,,,,N/A
188,,,,,,,,,,,O60313,Q9H611,Q13084,Q9BZ23,Q96I59,P03905,,,,N/A
189,,,,,,,,,,,Q13405,Q99757,Q5JTZ9,P11498,Q9UJA2,Q86Y79,,,,N/A
190,,,,,,,,,,,Q8N9F0,P00846,P07954,P55851,P34913,Q9Y3E5,,,,N/A
191,,,,,,,,,,,Q13084,O95847,Q8NE22,Q13505,Q9H3H1,O60313,,,,N/A
192,,,,,,,,,,,Q13011,P09622,P13073,Q8N0X4,Q99798,Q9Y3B8,,,,N/A
193,,,,,,,,,,,O95168,P14324,Q9NP80,Q56VL3,P06576,O95168,,,,N/A
